order_id,warehouse_region,shipping_cost,promised_delivery_date,actual_delivery_date,delivery_status
O0000125,West Hub,14.22,2026-01-06,2026-01-06,On Time
O0000126,East Hub,7.21,2026-01-08,2026-01-07,On Time
O0000127,West Hub,7.46,2026-01-09,2026-01-09,On Time
O0000128,West Hub,16.31,2026-01-09,2026-01-08,On Time
O0000129,West Hub,7.97,2026-01-08,2026-01-08,On Time
O0000130,East Hub,6.94,2026-01-08,2026-01-07,On Time
O0000131,East Hub,9.48,2026-01-09,2026-01-09,On Time
O0000132,East Hub,11.95,2026-01-09,2026-01-08,On Time
O0000133,West Hub,8.96,2026-01-09,2026-01-09,On Time
O0000134,East Hub,10.26,2026-01-08,2026-01-07,On Time
O0000135,West Hub,9.0,2026-01-08,2026-01-07,On Time
O0000136,East Hub,7.19,2026-01-07,2026-01-07,On Time
O0000137,East Hub,7.72,2026-01-10,2026-01-09,On Time
O0000138,East Hub,7.56,2026-01-08,2026-01-07,On Time
O0000139,West Hub,8.38,2026-01-09,2026-01-09,On Time
O0000140,West Hub,13.89,2026-01-07,2026-01-07,On Time
O0000141,West Hub,15.18,2026-01-09,2026-01-09,On Time
O0000142,East Hub,11.07,2026-01-07,2026-01-06,On Time
O0000143,East Hub,6.9,2026-01-08,2026-01-08,On Time
O0000144,West Hub,12.82,2026-01-07,2026-01-07,On Time
O0000145,West Hub,7.2,2026-01-09,2026-01-08,On Time
O0000146,Central Hub,7.01,2026-01-09,2026-01-09,On Time
O0000147,West Hub,8.39,2026-01-07,2026-01-06,On Time
O0000148,East Hub,14.87,2026-01-07,2026-01-06,On Time
O0000149,Central Hub,8.01,2026-01-09,2026-01-08,On Time
O0000150,East Hub,7.93,2026-01-09,2026-01-09,On Time
O0000151,East Hub,6.91,2026-01-09,2026-01-08,On Time
O0000152,East Hub,15.43,2026-01-07,2026-01-07,On Time
O0000153,Central Hub,11.53,2026-01-09,2026-01-08,On Time
O0000154,East Hub,10.9,2026-01-08,2026-01-07,On Time
O0000155,Central Hub,18.38,2026-01-08,2026-01-10,Late
O0000156,Central Hub,16.82,2026-01-10,2026-01-09,On Time
O0000157,West Hub,16.34,2026-01-10,2026-01-11,Late
O0000158,Central Hub,10.78,2026-01-08,2026-01-08,On Time
O0000159,West Hub,11.0,2026-01-09,2026-01-08,On Time
O0000160,West Hub,10.95,2026-01-09,2026-01-08,On Time
O0000161,Central Hub,8.66,2026-01-09,2026-01-09,On Time
O0000162,East Hub,10.44,2026-01-07,2026-01-07,On Time
O0000163,West Hub,9.67,2026-01-09,2026-01-13,Late
O0000164,West Hub,11.54,2026-01-07,2026-01-07,On Time
O0000165,Central Hub,8.28,2026-01-09,2026-01-08,On Time
O0000166,West Hub,10.6,2026-01-07,2026-01-06,On Time
O0000167,Central Hub,9.5,2026-01-10,2026-01-14,Late
O0000168,West Hub,17.42,2026-01-07,2026-01-07,On Time
O0000169,West Hub,8.48,2026-01-07,2026-01-06,On Time
O0000170,Central Hub,9.46,2026-01-10,2026-01-10,On Time
O0000171,West Hub,9.16,2026-01-08,2026-01-07,On Time
O0000172,West Hub,16.95,2026-01-08,2026-01-08,On Time
O0000173,West Hub,18.85,2026-01-09,2026-01-09,On Time
O0000174,West Hub,7.75,2026-01-07,2026-01-07,On Time
O0000175,Central Hub,12.39,2026-01-09,2026-01-09,On Time
O0000176,West Hub,6.13,2026-01-07,2026-01-06,On Time
O0000177,West Hub,10.95,2026-01-10,2026-01-10,On Time
O0000178,West Hub,7.38,2026-01-08,2026-01-07,On Time
O0000179,Central Hub,11.88,2026-01-08,2026-01-08,On Time
O0000180,West Hub,12.17,2026-01-08,2026-01-07,On Time
O0000181,East Hub,13.59,2026-01-11,2026-01-11,On Time
O0000182,West Hub,9.23,2026-01-11,2026-01-11,On Time
O0000183,East Hub,14.94,2026-01-11,2026-01-10,On Time
O0000184,Central Hub,8.12,2026-01-08,2026-01-08,On Time
O0000185,Central Hub,10.05,2026-01-10,2026-01-09,On Time
O0000186,Central Hub,8.16,2026-01-09,2026-01-11,Late
O0000187,East Hub,12.01,2026-01-10,2026-01-09,On Time
O0000188,Central Hub,9.13,2026-01-08,2026-01-08,On Time
O0000189,West Hub,10.46,2026-01-09,2026-01-08,On Time
O0000190,Central Hub,11.12,2026-01-08,2026-01-08,On Time
O0000191,Central Hub,13.25,2026-01-10,2026-01-09,On Time
O0000192,East Hub,6.82,2026-01-09,2026-01-09,On Time
O0000193,West Hub,9.66,2026-01-08,2026-01-10,Late
O0000194,West Hub,8.35,2026-01-10,2026-01-10,On Time
O0000195,West Hub,8.39,2026-01-08,2026-01-12,Late
O0000196,East Hub,9.26,2026-01-09,2026-01-08,On Time
O0000197,East Hub,6.68,2026-01-10,2026-01-12,Late
O0000198,West Hub,10.05,2026-01-08,2026-01-08,On Time
O0000199,East Hub,13.59,2026-01-11,2026-01-10,On Time
O0000200,Central Hub,8.35,2026-01-09,2026-01-08,On Time
O0000201,East Hub,10.93,2026-01-11,2026-01-10,On Time
O0000202,West Hub,15.32,2026-01-11,2026-01-10,On Time
O0000203,East Hub,11.93,2026-01-11,2026-01-11,On Time
O0000204,West Hub,16.15,2026-01-11,2026-01-10,On Time
O0000205,West Hub,8.83,2026-01-09,2026-01-08,On Time
O0000206,West Hub,13.33,2026-01-11,2026-01-11,On Time
O0000207,Central Hub,15.79,2026-01-10,2026-01-09,On Time
O0000208,West Hub,13.54,2026-01-11,2026-01-11,On Time
O0000209,Central Hub,9.15,2026-01-09,2026-01-09,On Time
O0000210,Central Hub,8.78,2026-01-11,2026-01-11,On Time
O0000211,Central Hub,12.96,2026-01-09,2026-01-09,On Time
O0000212,Central Hub,8.4,2026-01-10,2026-01-09,On Time
O0000213,East Hub,8.77,2026-01-08,2026-01-07,On Time
O0000214,Central Hub,6.4,2026-01-08,2026-01-08,On Time
O0000215,Central Hub,6.79,2026-01-10,2026-01-10,On Time
O0000216,Central Hub,10.98,2026-01-10,2026-01-09,On Time
O0000217,West Hub,8.75,2026-01-10,2026-01-10,On Time
O0000218,Central Hub,6.69,2026-01-09,2026-01-09,On Time
O0000219,West Hub,9.21,2026-01-08,2026-01-13,Late
O0000220,East Hub,5.57,2026-01-11,2026-01-11,On Time
O0000221,Central Hub,7.95,2026-01-10,2026-01-10,On Time
O0000222,West Hub,11.42,2026-01-08,2026-01-07,On Time
O0000223,West Hub,7.63,2026-01-10,2026-01-10,On Time
O0000224,Central Hub,9.89,2026-01-08,2026-01-08,On Time
O0000225,West Hub,10.51,2026-01-10,2026-01-10,On Time
O0000226,East Hub,13.85,2026-01-10,2026-01-10,On Time
O0000227,West Hub,12.53,2026-01-08,2026-01-11,Late
O0000228,East Hub,11.96,2026-01-09,2026-01-08,On Time
O0000229,West Hub,8.87,2026-01-11,2026-01-10,On Time
O0000230,West Hub,14.8,2026-01-08,2026-01-07,On Time
O0000231,East Hub,6.92,2026-01-09,2026-01-08,On Time
O0000232,East Hub,5.99,2026-01-12,2026-01-11,On Time
O0000233,East Hub,7.62,2026-01-11,2026-01-10,On Time
O0000234,West Hub,10.07,2026-01-12,2026-01-11,On Time
O0000235,Central Hub,9.4,2026-01-09,2026-01-09,On Time
O0000236,East Hub,12.16,2026-01-10,2026-01-09,On Time
O0000237,West Hub,15.06,2026-01-11,2026-01-11,On Time
O0000238,Central Hub,8.81,2026-01-09,2026-01-08,On Time
O0000239,East Hub,8.03,2026-01-09,2026-01-08,On Time
O0000240,East Hub,12.63,2026-01-10,2026-01-10,On Time
O0000241,East Hub,11.64,2026-01-12,2026-01-11,On Time
O0000242,Central Hub,10.15,2026-01-09,2026-01-12,Late
O0000243,Central Hub,10.18,2026-01-12,2026-01-12,On Time
O0000244,West Hub,15.38,2026-01-12,2026-01-17,Late
O0000245,East Hub,12.6,2026-01-12,2026-01-11,On Time
O0000246,West Hub,8.75,2026-01-09,2026-01-14,Late
O0000247,Central Hub,11.28,2026-01-12,2026-01-12,On Time
O0000248,East Hub,11.13,2026-01-10,2026-01-10,On Time
O0000249,West Hub,8.56,2026-01-11,2026-01-10,On Time
O0000250,West Hub,8.73,2026-01-10,2026-01-14,Late
O0000251,East Hub,7.46,2026-01-12,2026-01-12,On Time
O0000252,West Hub,9.73,2026-01-11,2026-01-11,On Time
O0000253,West Hub,25.3,2026-01-11,2026-01-10,On Time
O0000254,East Hub,11.5,2026-01-10,2026-01-09,On Time
O0000255,East Hub,7.27,2026-01-09,2026-01-08,On Time
O0000256,East Hub,15.7,2026-01-12,2026-01-12,On Time
O0000257,Central Hub,8.7,2026-01-09,2026-01-10,Late
O0000258,Central Hub,9.77,2026-01-12,2026-01-12,On Time
O0000259,West Hub,9.09,2026-01-09,2026-01-08,On Time
O0000260,Central Hub,8.16,2026-01-11,2026-01-11,On Time
O0000261,West Hub,10.13,2026-01-11,2026-01-13,Late
O0000262,East Hub,13.21,2026-01-09,2026-01-09,On Time
O0000263,West Hub,8.48,2026-01-10,2026-01-10,On Time
O0000264,East Hub,13.39,2026-01-12,2026-01-11,On Time
O0000265,Central Hub,12.68,2026-01-11,2026-01-11,On Time
O0000266,East Hub,8.08,2026-01-10,2026-01-10,On Time
O0000267,Central Hub,13.88,2026-01-11,2026-01-11,On Time
O0000268,West Hub,20.58,2026-01-11,2026-01-11,On Time
O0000269,Central Hub,16.19,2026-01-12,2026-01-11,On Time
O0000270,East Hub,8.07,2026-01-11,2026-01-10,On Time
O0000271,West Hub,7.63,2026-01-12,2026-01-11,On Time
O0000272,East Hub,11.16,2026-01-09,2026-01-09,On Time
O0000273,West Hub,14.09,2026-01-12,2026-01-12,On Time
O0000274,West Hub,7.65,2026-01-10,2026-01-10,On Time
O0000275,West Hub,15.09,2026-01-09,2026-01-08,On Time
O0000276,Central Hub,12.52,2026-01-10,2026-01-15,Late
O0000277,Central Hub,6.21,2026-01-12,2026-01-12,On Time
O0000278,East Hub,11.21,2026-01-10,2026-01-09,On Time
O0000279,Central Hub,10.56,2026-01-10,2026-01-10,On Time
O0000280,Central Hub,8.23,2026-01-10,2026-01-10,On Time
O0000281,West Hub,10.27,2026-01-12,2026-01-12,On Time
O0000282,West Hub,11.23,2026-01-11,2026-01-11,On Time
O0000283,East Hub,5.76,2026-01-09,2026-01-09,On Time
O0000284,East Hub,9.58,2026-01-11,2026-01-11,On Time
O0000285,Central Hub,10.42,2026-01-11,2026-01-11,On Time
O0000286,West Hub,18.63,2026-01-11,2026-01-11,On Time
O0000287,East Hub,6.56,2026-01-12,2026-01-11,On Time
O0000288,Central Hub,16.32,2026-01-11,2026-01-10,On Time
O0000289,Central Hub,9.48,2026-01-12,2026-01-11,On Time
O0000290,Central Hub,7.98,2026-01-13,2026-01-13,On Time
O0000291,West Hub,10.75,2026-01-13,2026-01-13,On Time
O0000292,West Hub,7.58,2026-01-12,2026-01-11,On Time
O0000293,East Hub,9.42,2026-01-10,2026-01-09,On Time
O0000294,Central Hub,6.33,2026-01-10,2026-01-09,On Time
O0000295,West Hub,9.21,2026-01-12,2026-01-11,On Time
O0000296,East Hub,6.44,2026-01-10,2026-01-09,On Time
O0000297,Central Hub,8.79,2026-01-10,2026-01-10,On Time
O0000298,Central Hub,9.84,2026-01-10,2026-01-09,On Time
O0000299,East Hub,9.09,2026-01-11,2026-01-10,On Time
O0000300,Central Hub,13.27,2026-01-13,2026-01-12,On Time
O0000301,East Hub,12.83,2026-01-13,2026-01-12,On Time
O0000302,West Hub,7.98,2026-01-11,2026-01-11,On Time
O0000303,West Hub,8.27,2026-01-12,2026-01-11,On Time
O0000304,East Hub,11.03,2026-01-11,2026-01-11,On Time
O0000305,West Hub,8.33,2026-01-12,2026-01-12,On Time
O0000306,East Hub,11.61,2026-01-11,2026-01-11,On Time
O0000307,East Hub,6.63,2026-01-12,2026-01-11,On Time
O0000308,Central Hub,8.83,2026-01-11,2026-01-10,On Time
O0000309,Central Hub,5.98,2026-01-10,2026-01-09,On Time
O0000310,Central Hub,7.37,2026-01-10,2026-01-10,On Time
O0000311,East Hub,7.98,2026-01-11,2026-01-10,On Time
O0000312,Central Hub,9.23,2026-01-12,2026-01-11,On Time
O0000313,East Hub,6.59,2026-01-10,2026-01-09,On Time
O0000314,East Hub,13.6,2026-01-12,2026-01-11,On Time
O0000315,West Hub,27.68,2026-01-13,2026-01-13,On Time
O0000316,Central Hub,7.96,2026-01-11,2026-01-11,On Time
O0000317,West Hub,18.33,2026-01-12,2026-01-12,On Time
O0000318,East Hub,9.79,2026-01-13,2026-01-13,On Time
O0000319,West Hub,8.99,2026-01-10,2026-01-10,On Time
O0000320,West Hub,11.61,2026-01-11,2026-01-10,On Time
O0000321,Central Hub,12.78,2026-01-12,2026-01-12,On Time
O0000322,East Hub,14.34,2026-01-10,2026-01-09,On Time
O0000323,Central Hub,15.42,2026-01-13,2026-01-12,On Time
O0000324,West Hub,17.54,2026-01-11,2026-01-10,On Time
O0000325,West Hub,9.28,2026-01-11,2026-01-12,Late
O0000326,West Hub,9.25,2026-01-12,2026-01-12,On Time
O0000327,West Hub,11.63,2026-01-13,2026-01-13,On Time
O0000328,East Hub,8.31,2026-01-12,2026-01-11,On Time
O0000329,West Hub,10.79,2026-01-11,2026-01-10,On Time
O0000330,West Hub,11.8,2026-01-12,2026-01-11,On Time
O0000331,East Hub,11.69,2026-01-10,2026-01-09,On Time
O0000332,West Hub,16.01,2026-01-12,2026-01-11,On Time
O0000333,East Hub,12.15,2026-01-10,2026-01-12,Late
O0000334,East Hub,10.03,2026-01-13,2026-01-13,On Time
O0000335,Central Hub,9.45,2026-01-12,2026-01-11,On Time
O0000336,West Hub,21.96,2026-01-13,2026-01-13,On Time
O0000337,East Hub,9.33,2026-01-11,2026-01-11,On Time
O0000338,Central Hub,10.65,2026-01-11,2026-01-11,On Time
O0000339,Central Hub,9.99,2026-01-12,2026-01-11,On Time
O0000340,West Hub,8.45,2026-01-11,2026-01-10,On Time
O0000341,West Hub,16.08,2026-01-13,2026-01-17,Late
O0000342,East Hub,9.02,2026-01-13,2026-01-12,On Time
O0000343,West Hub,10.25,2026-01-11,2026-01-10,On Time
O0000344,East Hub,8.9,2026-01-12,2026-01-11,On Time
O0000345,East Hub,8.34,2026-01-13,2026-01-13,On Time
O0000346,Central Hub,12.96,2026-01-10,2026-01-09,On Time
O0000347,Central Hub,10.35,2026-01-10,2026-01-10,On Time
O0000348,East Hub,7.85,2026-01-13,2026-01-13,On Time
O0000349,West Hub,19.21,2026-01-12,2026-01-12,On Time
O0000350,East Hub,8.74,2026-01-10,2026-01-14,Late
O0000351,Central Hub,8.36,2026-01-13,2026-01-13,On Time
O0000352,East Hub,9.39,2026-01-11,2026-01-11,On Time
O0000353,Central Hub,6.76,2026-01-10,2026-01-09,On Time
O0000354,Central Hub,19.28,2026-01-11,2026-01-10,On Time
O0000355,East Hub,7.92,2026-01-12,2026-01-12,On Time
O0000356,Central Hub,11.45,2026-01-11,2026-01-10,On Time
O0000357,East Hub,8.22,2026-01-12,2026-01-11,On Time
O0000358,Central Hub,9.9,2026-01-12,2026-01-11,On Time
O0000359,West Hub,10.0,2026-01-10,2026-01-10,On Time
O0000360,East Hub,9.61,2026-01-12,2026-01-12,On Time
O0000361,Central Hub,11.68,2026-01-13,2026-01-13,On Time
O0000362,Central Hub,11.93,2026-01-11,2026-01-11,On Time
O0000363,Central Hub,9.31,2026-01-12,2026-01-11,On Time
O0000364,Central Hub,7.59,2026-01-11,2026-01-11,On Time
O0000365,West Hub,9.62,2026-01-11,2026-01-11,On Time
O0000366,Central Hub,9.52,2026-01-14,2026-01-13,On Time
O0000367,East Hub,8.39,2026-01-13,2026-01-13,On Time
O0000368,West Hub,9.06,2026-01-12,2026-01-12,On Time
O0000369,Central Hub,6.35,2026-01-13,2026-01-13,On Time
O0000370,West Hub,15.96,2026-01-12,2026-01-12,On Time
O0000371,Central Hub,10.72,2026-01-12,2026-01-15,Late
O0000372,West Hub,10.74,2026-01-12,2026-01-12,On Time
O0000373,East Hub,8.02,2026-01-12,2026-01-11,On Time
O0000374,Central Hub,8.68,2026-01-11,2026-01-11,On Time
O0000375,West Hub,11.59,2026-01-14,2026-01-14,On Time
O0000376,Central Hub,9.12,2026-01-11,2026-01-11,On Time
O0000377,Central Hub,8.24,2026-01-12,2026-01-11,On Time
O0000378,Central Hub,5.81,2026-01-14,2026-01-14,On Time
O0000379,Central Hub,8.82,2026-01-12,2026-01-12,On Time
O0000380,East Hub,8.18,2026-01-14,2026-01-14,On Time
O0000381,West Hub,13.79,2026-01-12,2026-01-12,On Time
O0000382,East Hub,14.9,2026-01-13,2026-01-12,On Time
O0000383,Central Hub,9.36,2026-01-12,2026-01-15,Late
O0000384,East Hub,19.03,2026-01-11,2026-01-10,On Time
O0000385,Central Hub,8.46,2026-01-12,2026-01-11,On Time
O0000386,Central Hub,12.01,2026-01-13,2026-01-13,On Time
O0000387,West Hub,6.59,2026-01-13,2026-01-13,On Time
O0000388,West Hub,13.68,2026-01-13,2026-01-13,On Time
O0000389,East Hub,7.73,2026-01-13,2026-01-12,On Time
O0000390,Central Hub,5.78,2026-01-13,2026-01-13,On Time
O0000391,West Hub,23.17,2026-01-13,2026-01-13,On Time
O0000392,West Hub,18.87,2026-01-13,2026-01-17,Late
O0000393,East Hub,7.62,2026-01-11,2026-01-10,On Time
O0000394,East Hub,14.2,2026-01-12,2026-01-11,On Time
O0000395,Central Hub,10.18,2026-01-13,2026-01-17,Late
O0000396,Central Hub,8.53,2026-01-11,2026-01-15,Late
O0000397,East Hub,8.46,2026-01-12,2026-01-11,On Time
O0000398,West Hub,7.47,2026-01-12,2026-01-11,On Time
O0000399,West Hub,10.13,2026-01-14,2026-01-13,On Time
O0000400,West Hub,6.85,2026-01-13,2026-01-15,Late
O0000401,Central Hub,10.53,2026-01-12,2026-01-11,On Time
O0000402,West Hub,11.83,2026-01-13,2026-01-13,On Time
O0000403,East Hub,11.93,2026-01-13,2026-01-12,On Time
O0000404,Central Hub,9.18,2026-01-11,2026-01-14,Late
O0000405,West Hub,7.89,2026-01-11,2026-01-15,Late
O0000406,Central Hub,6.9,2026-01-12,2026-01-12,On Time
O0000407,West Hub,24.47,2026-01-14,2026-01-14,On Time
O0000408,Central Hub,8.85,2026-01-12,2026-01-11,On Time
O0000409,West Hub,8.77,2026-01-12,2026-01-12,On Time
O0000410,Central Hub,8.78,2026-01-14,2026-01-14,On Time
O0000411,Central Hub,14.18,2026-01-11,2026-01-10,On Time
O0000412,East Hub,7.62,2026-01-13,2026-01-12,On Time
O0000413,Central Hub,7.35,2026-01-13,2026-01-13,On Time
O0000414,East Hub,9.33,2026-01-12,2026-01-11,On Time
O0000415,East Hub,8.46,2026-01-12,2026-01-11,On Time
O0000416,Central Hub,7.48,2026-01-13,2026-01-12,On Time
O0000417,West Hub,14.21,2026-01-14,2026-01-14,On Time
O0000418,Central Hub,12.26,2026-01-12,2026-01-12,On Time
O0000419,West Hub,15.95,2026-01-14,2026-01-13,On Time
O0000420,Central Hub,11.46,2026-01-11,2026-01-11,On Time
O0000421,East Hub,10.72,2026-01-12,2026-01-11,On Time
O0000422,West Hub,13.67,2026-01-14,2026-01-14,On Time
O0000423,Central Hub,16.11,2026-01-14,2026-01-13,On Time
O0000424,West Hub,9.27,2026-01-14,2026-01-13,On Time
O0000425,West Hub,8.85,2026-01-13,2026-01-12,On Time
O0000426,East Hub,13.07,2026-01-13,2026-01-12,On Time
O0000427,West Hub,10.29,2026-01-11,2026-01-10,On Time
O0000428,East Hub,9.27,2026-01-13,2026-01-12,On Time
O0000429,West Hub,10.53,2026-01-13,2026-01-12,On Time
O0000430,West Hub,8.29,2026-01-12,2026-01-11,On Time
O0000431,West Hub,10.26,2026-01-15,2026-01-15,On Time
