customer_id,region,signup_date,acquisition_channel,customer_segment
C000064,West,2025-01-26,Paid Social,Consumer
C000065,West,2026-05-09,Email,Consumer
C000066,Midwest,2026-04-23,Email,Consumer
C000067,Midwest,2025-10-07,Email,Consumer
C000068,West,2026-02-21,Organic Search,Consumer
C000069,West,2025-01-20,Organic Search,Small Business
C000070,Northeast,2026-06-25,Email,Small Business
C000071,Northeast,2025-12-11,Paid Search,Consumer
C000072,West,2025-10-11,Email,Consumer
C000073,West,2025-02-14,Organic Search,Premium
C000074,Northeast,2025-10-03,Organic Search,Premium
C000075,Northeast,2025-10-01,Referral,Consumer
C000076,West,2026-02-01,Referral,Consumer
C000077,West,2025-11-04,Paid Search,Consumer
C000078,Northeast,2026-01-02,Organic Search,Consumer
C000079,West,2025-10-20,Email,Consumer
C000080,Northeast,2026-05-05,Paid Social,Consumer
C000081,West,2026-03-07,Referral,Consumer
C000082,Midwest,2026-01-10,Email,Consumer
C000083,West,2025-02-05,Email,Small Business
C000084,Midwest,2026-01-28,Paid Search,Consumer
C000085,Midwest,2025-08-27,Organic Search,Consumer
C000086,West,2025-03-07,Referral,Small Business
C000087,West,2025-12-22,Paid Social,Consumer
C000088,Midwest,2026-03-19,Organic Search,Consumer
C000089,West,2025-02-26,Referral,Consumer
C000090,Northeast,2025-08-10,,Small Business
C000091,West,2025-06-24,Organic Search,Small Business
C000092,Northeast,2025-03-12,Paid Search,Premium
C000093,West,2025-05-14,Organic Search,Consumer
C000094,Midwest,2025-03-10,Organic Search,Consumer
C000095,West,2025-12-21,Organic Search,Consumer
C000096,West,2025-10-15,Organic Search,Small Business
C000097,West,2025-04-15,Paid Social,Consumer
C000098,Midwest,2025-04-01,Referral,Consumer
C000099,Northeast,2026-01-04,Paid Social,Consumer
C000100,West,2025-07-15,Organic Search,Consumer
C000101,Midwest,2025-04-27,Organic Search,Consumer
C000102,West,2025-11-08,Organic Search,Consumer
C000103,Northeast,2025-07-02,Paid Search,Consumer
C000104,West,2026-02-14,Organic Search,Consumer
C000105,Northeast,2026-03-14,Email,Consumer
C000106,West,2026-05-25,Paid Social,Consumer
C000107,Northeast,2026-04-05,Organic Search,Consumer
C000108,Northeast,2025-01-06,Organic Search,Consumer
C000109,Northeast,2025-06-07,Organic Search,Consumer
C000110,West,2025-01-14,Email,Consumer
C000111,West,2025-05-04,Paid Social,Premium
C000112,Midwest,2026-04-21,Referral,Consumer
C000113,Midwest,2025-09-01,Paid Social,Consumer
C000114,West,2025-07-22,Paid Social,Consumer
C000115,Northeast,2025-11-13,Referral,Small Business
C000116,West,2025-06-13,Email,Consumer
C000117,Midwest,2025-02-26,Email,Consumer
C000118,Northeast,2026-06-30,Organic Search,Consumer
C000119,Northeast,2025-01-12,Referral,Consumer
C000120,West,2025-12-10,Organic Search,Consumer
C000121,Midwest,2025-11-25,Paid Search,Small Business
C000122,Midwest,2025-11-24,Paid Search,Consumer
C000123,Midwest,2025-07-08,Email,Premium
C000124,Midwest,2025-07-01,Organic Search,Small Business
C000125,Midwest,2025-01-04,Organic Search,Consumer
C000126,Midwest,2025-07-17,Organic Search,Consumer
C000127,West,2025-01-10,Organic Search,Consumer
C000128,Midwest,2025-05-30,Organic Search,Consumer
C000129,West,2026-03-15,Referral,Consumer
C000130,West,2026-01-21,Organic Search,Consumer
C000131,Midwest,2026-02-23,Organic Search,Consumer
C000132,Northeast,2026-05-24,Paid Search,Small Business
C000133,Northeast,2025-02-03,Paid Search,Consumer
C000134,West,2026-02-11,Paid Search,Consumer
C000135,Midwest,2025-05-17,Organic Search,Consumer
C000136,West,2025-12-25,Paid Social,Small Business
C000137,West,2025-04-01,Organic Search,Consumer
C000138,Midwest,2025-08-17,Paid Social,Consumer
C000139,Midwest,2025-02-24,Paid Social,Small Business
C000140,Midwest,2026-06-14,Referral,Consumer
C000141,Midwest,2026-04-22,Referral,Consumer
C000142,Midwest,2025-10-21,Referral,Consumer
C000143,Northeast,2025-10-09,Organic Search,Premium
C000144,West,2025-01-13,Organic Search,Consumer
C000145,Northeast,2025-08-12,Paid Social,Consumer
C000146,West,2025-04-18,Organic Search,Consumer
C000147,West,2026-05-22,Paid Social,Consumer
C000148,West,2025-09-27,Organic Search,Consumer
C000149,West,2025-01-28,Organic Search,Consumer
C000150,West,2025-07-03,Referral,Consumer
C000151,Northeast,2025-02-09,Email,Consumer
C000152,Northeast,2025-09-24,Organic Search,Consumer
C000153,Northeast,2025-02-22,Paid Social,Consumer
C000154,Midwest,2025-09-22,Referral,Consumer
C000155,Midwest,2025-03-21,Organic Search,Consumer
C000156,Midwest,2025-05-27,Organic Search,Consumer
C000157,Northeast,2025-09-05,Email,Consumer
C000158,Midwest,2026-04-30,Organic Search,Consumer
C000159,West,2025-09-17,Paid Social,Consumer
C000160,Midwest,2025-07-10,Email,Small Business
C000161,Northeast,2026-02-23,Organic Search,Consumer
C000162,Northeast,2026-02-22,Organic Search,Small Business
C000163,Northeast,2025-04-09,Organic Search,Consumer
C000164,West,2025-10-16,Paid Social,Consumer
C000165,West,2026-01-26,Paid Search,Consumer
C000166,Midwest,2026-03-29,Paid Social,Consumer
C000167,Northeast,2026-05-22,Paid Social,Consumer
C000168,West,2026-03-20,Organic Search,Consumer
C000169,West,2025-07-04,Email,Small Business
C000170,Northeast,2025-11-12,Referral,Small Business
C000171,West,2026-06-24,Paid Search,Consumer
C000172,Northeast,2025-02-05,Paid Search,Consumer
C000173,West,2025-01-12,Organic Search,Consumer
C000174,West,2026-03-30,Referral,Consumer
C000175,Midwest,2025-03-07,Paid Social,Small Business
C000176,West,2026-02-16,Paid Social,Consumer
C000177,Midwest,2025-07-06,Paid Search,Small Business
C000178,West,2026-01-02,Email,Consumer
C000179,West,2026-05-18,Paid Social,Consumer
C000180,West,2026-01-03,Paid Search,Consumer
C000181,Midwest,2025-04-18,Paid Search,Consumer
C000182,Northeast,2025-02-14,Referral,Premium
C000183,Midwest,2025-05-04,Paid Social,Premium
C000184,Midwest,2025-01-28,Paid Social,Consumer
C000185,Northeast,2025-06-03,Organic Search,Consumer
C000186,Northeast,2026-06-14,Paid Social,Small Business
C000187,Midwest,2026-03-09,Organic Search,Consumer
C000188,Northeast,2025-12-10,Paid Social,Consumer
C000189,West,2025-12-20,Email,Premium
C000190,Northeast,2026-05-02,Organic Search,Consumer
C000191,West,2026-02-22,Organic Search,Small Business
C000192,West,2025-05-15,Paid Social,Consumer
C000193,Midwest,2025-06-16,Paid Search,Consumer
C000194,,2026-02-11,Email,Small Business
C000195,Midwest,2025-07-16,Organic Search,Consumer
C000196,West,2025-08-21,Organic Search,Consumer
C000197,Midwest,2025-02-06,Paid Social,Consumer
C000198,Midwest,2025-12-29,Paid Social,Consumer
C000199,Midwest,2026-02-08,Referral,Consumer
C000200,Midwest,2025-03-15,Paid Search,Consumer
C000201,Northeast,2026-04-13,Email,Small Business
C000202,West,2025-03-31,Paid Search,Consumer
C000203,West,2026-05-30,Paid Search,Consumer
C000204,Northeast,2025-10-17,Paid Social,Small Business
C000205,Northeast,2026-01-31,Referral,Consumer
C000206,West,2025-10-09,Paid Search,Consumer
C000207,West,2025-03-31,Email,Small Business
C000208,Midwest,2026-04-02,Paid Social,Consumer
C000209,West,2026-01-17,Paid Search,Consumer
C000210,Midwest,2026-02-03,Paid Social,Consumer
C000211,West,2025-11-07,Paid Search,Consumer
C000212,Midwest,2025-10-27,Paid Social,Consumer
C000213,Northeast,2025-12-02,Organic Search,Premium
C000214,West,2025-08-30,Organic Search,Small Business
C000215,West,2025-02-11,Referral,Premium
C000216,West,2025-04-15,Referral,Consumer
C000217,Midwest,2025-10-13,Organic Search,Consumer
C000218,Northeast,2025-09-21,Organic Search,Consumer
C000219,West,2026-03-23,Email,Consumer
C000220,Midwest,2026-03-12,Organic Search,Consumer
C000221,Northeast,2026-01-17,Paid Social,Small Business
C000222,West,2026-02-26,Email,Premium
C000223,Midwest,2025-07-20,Referral,Small Business
C000224,West,2025-01-15,Email,Small Business
C000225,West,2025-05-14,Email,Small Business
C000226,West,2025-11-07,Referral,Consumer
C000227,West,2026-05-31,Paid Social,Consumer
C000228,Northeast,2025-01-14,Referral,Consumer
C000229,Northeast,2025-07-18,Paid Search,Small Business
C000230,Northeast,2025-08-03,Paid Social,Consumer
C000231,Midwest,2025-07-02,Paid Search,Consumer
C000232,Northeast,2025-09-25,Organic Search,Consumer
C000233,Midwest,2025-08-08,Paid Social,Small Business
C000234,West,2026-04-13,Referral,Consumer
C000235,Northeast,2025-04-04,Referral,Small Business
C000236,Northeast,2025-03-27,Email,Consumer
C000237,Northeast,2025-07-28,Organic Search,Consumer
C000238,West,2025-07-02,Email,Consumer
C000239,West,2025-07-19,Email,Premium
C000240,Midwest,2025-04-07,Paid Social,Consumer
C000241,West,2026-06-21,Paid Social,Consumer
C000242,Midwest,2025-03-25,Organic Search,Small Business
C000243,Midwest,2025-05-19,,Consumer
C000244,Midwest,2025-07-21,Paid Social,Consumer
C000245,Northeast,2026-05-18,Email,Consumer
C000246,West,2025-01-30,Paid Search,Small Business
C000247,West,2025-02-23,Referral,Premium
C000248,Midwest,2026-05-03,Organic Search,Consumer
C000249,Midwest,2026-01-27,Paid Social,Consumer
C000250,West,2026-03-23,Organic Search,Consumer
C000251,Northeast,2026-06-18,Email,Consumer
C000252,Midwest,2026-02-27,Organic Search,Consumer
C000253,Midwest,2025-04-29,Paid Social,Consumer
C000254,Northeast,2025-09-17,Email,Consumer
C000255,Midwest,2026-03-09,Paid Social,Consumer
C000256,Midwest,2025-07-15,Referral,Premium
C000257,West,2025-07-25,Paid Social,Small Business
C000258,Northeast,2026-05-06,Organic Search,Small Business
C000259,West,2025-10-15,Paid Social,Small Business
C000260,Midwest,2026-03-04,Paid Search,Consumer
C000261,West,2025-09-06,Paid Search,Premium
C000262,Northeast,2025-11-28,Organic Search,Small Business
C000263,West,2026-03-09,Paid Social,Consumer
C000264,Midwest,2025-01-27,Paid Social,Consumer
C000265,Northeast,2025-03-01,Paid Social,Consumer
C000266,Northeast,2025-03-18,Organic Search,Consumer
C000267,West,2025-09-17,Organic Search,Consumer
C000268,Northeast,2026-03-29,Paid Search,Consumer
C000269,Midwest,2026-01-13,Paid Social,Small Business
C000270,West,2025-03-03,Paid Social,Small Business
C000271,West,2025-11-04,Referral,Consumer
C000272,Midwest,2025-05-22,Email,Consumer
C000273,Northeast,2025-09-04,Email,Consumer
C000274,Midwest,2026-04-17,Paid Social,Consumer
C000275,Northeast,2026-01-08,Paid Search,Consumer
C000276,West,2025-11-19,Paid Search,Consumer
C000277,Northeast,2026-05-24,Paid Search,Premium
C000278,Northeast,2025-04-07,Paid Social,Consumer
C000279,Midwest,2026-02-13,Paid Social,Small Business
C000280,Midwest,2025-08-08,Paid Search,Consumer
C000281,West,2025-11-09,Paid Search,Consumer
C000282,Northeast,2025-02-21,Paid Search,Small Business
C000283,West,2025-02-16,Referral,Small Business
C000284,Northeast,2026-02-02,Paid Social,Consumer
C000285,West,2025-10-03,Paid Search,Consumer
C000286,West,2025-10-18,Organic Search,Small Business
C000287,Northeast,2026-01-24,Organic Search,Consumer
C000288,Midwest,2025-10-26,Organic Search,Consumer
C000289,Midwest,2026-05-09,Paid Search,Consumer
C000290,West,2025-06-21,Email,Consumer
C000291,Northeast,2026-03-28,Referral,Consumer
C000292,West,2026-06-29,,Small Business
C000293,Northeast,2026-01-15,Email,Consumer
C000294,West,2025-06-18,Organic Search,Consumer
C000295,Northeast,2025-04-01,Email,Consumer
C000296,West,2025-10-04,Paid Search,Consumer
C000297,West,2026-03-10,Organic Search,Consumer
C000298,Northeast,2026-02-06,Email,Premium
C000299,Northeast,2026-04-21,Paid Social,Consumer
C000300,West,2025-11-02,Email,Consumer
C000301,Northeast,2025-08-28,Organic Search,Consumer
C000302,Northeast,2026-02-03,Organic Search,Consumer
C000303,Northeast,2025-01-31,Paid Social,Consumer
C000304,West,2025-04-17,Email,Consumer
C000305,Midwest,2025-11-16,Referral,Consumer
C000306,West,2026-06-16,Paid Social,Premium
C000307,Midwest,2025-03-13,Organic Search,Small Business
C000308,Midwest,2025-01-12,Paid Social,Small Business
C000309,Northeast,2025-11-25,Email,Consumer
C000310,West,2026-03-01,Paid Search,Consumer
C000311,Midwest,2025-04-18,Email,Consumer
C000312,West,2025-09-28,Email,Consumer
C000313,West,2026-05-19,Paid Social,Consumer
C000314,West,2026-04-06,Organic Search,Consumer
C000315,Northeast,2025-12-05,Email,Consumer
C000316,West,2026-05-16,Paid Search,Consumer
C000317,Northeast,2025-12-14,Organic Search,Consumer
C000318,West,2026-05-15,Referral,Premium
C000319,Midwest,2025-11-10,Paid Search,Consumer
C000320,West,2025-09-11,Email,Consumer
C000321,Midwest,2025-07-02,Paid Social,Consumer
C000322,Northeast,2025-07-19,Referral,Consumer
C000323,West,2025-08-08,Paid Search,Consumer
C000324,Northeast,2025-08-25,Organic Search,Consumer
C000325,Northeast,2025-01-28,Organic Search,Small Business
C000326,Midwest,2025-09-20,Paid Search,Consumer
C000327,West,2025-01-15,Referral,Consumer
C000328,West,2026-04-24,Paid Social,Consumer
C000329,Northeast,2025-10-06,Paid Social,Small Business
C000330,West,2025-11-11,Paid Social,Consumer
C000331,Midwest,2026-01-01,Referral,Premium
C000332,Midwest,2025-07-01,,Consumer
C000333,Northeast,2025-03-25,Organic Search,Consumer
C000334,Midwest,2025-12-15,Organic Search,Consumer
C000335,Midwest,2026-01-26,Paid Social,Consumer
C000336,West,2025-06-03,Referral,Consumer
C000337,Midwest,2026-02-17,Paid Search,Consumer
C000338,Midwest,2025-05-10,Paid Search,Small Business
C000339,West,2025-01-15,Referral,Consumer
C000340,West,2026-04-14,Paid Search,Consumer
C000341,West,2026-02-23,Email,Consumer
C000342,West,2025-01-12,Paid Social,Consumer
C000343,Northeast,2025-09-21,Organic Search,Consumer
C000344,Northeast,2025-05-07,Email,Consumer
C000345,Northeast,2026-01-06,Organic Search,Small Business
C000346,Midwest,2025-07-29,Paid Search,Consumer
C000347,Northeast,2025-08-16,Paid Social,Small Business
C000348,Northeast,2026-06-03,Email,Consumer
C000349,West,2025-04-14,Organic Search,Consumer
C000350,West,2025-06-06,Referral,Premium
C000351,West,2026-06-09,Paid Social,Consumer
C000352,Midwest,2026-04-18,Organic Search,Consumer
C000353,Northeast,2026-06-09,Email,Consumer
C000354,Northeast,2025-11-22,Organic Search,Consumer
C000355,Northeast,2025-02-28,Paid Search,Premium
C000356,Northeast,2026-05-27,Paid Social,Consumer
C000357,West,2026-03-30,Referral,Consumer
C000358,Northeast,2025-03-07,Paid Search,Small Business
C000359,Midwest,2025-02-23,Paid Social,Small Business
C000360,West,2025-05-22,Paid Search,Consumer
C000361,Midwest,2026-01-07,Paid Search,Consumer
C000362,Midwest,2025-04-30,Paid Social,Small Business
C000363,Northeast,2026-04-16,Email,Premium
C000364,West,2026-02-03,Referral,Consumer
C000365,Midwest,2026-04-19,Email,Consumer
C000366,West,2025-04-26,Referral,Consumer
C000367,,2025-02-28,Paid Social,Consumer
C000368,Northeast,2025-11-26,Paid Social,Small Business
C000369,Northeast,2026-01-28,Referral,Small Business
C000370,Midwest,2026-04-11,Organic Search,Consumer
C000371,West,2026-04-29,Paid Search,Premium
C000372,Northeast,2025-01-10,Organic Search,Consumer
C000373,Midwest,2025-08-16,Referral,Consumer
C000374,West,2026-04-09,Organic Search,Small Business
C000375,Midwest,2026-04-16,Referral,Premium
C000376,West,2025-12-11,Referral,Consumer
C000377,West,2025-11-18,Organic Search,Consumer
C000378,West,2026-04-01,Organic Search,Consumer
C000379,West,2025-02-06,Paid Social,Consumer
C000380,West,2026-02-02,Email,Consumer
C000381,Northeast,2025-07-29,Email,Consumer
C000382,Midwest,2026-03-05,Referral,Consumer
C000383,Midwest,2025-01-29,Email,Small Business
C000384,Midwest,2025-03-16,Paid Search,Consumer
C000385,West,2025-03-10,Organic Search,Consumer
C000386,Northeast,2025-01-12,Referral,Consumer
C000387,West,2026-03-12,Referral,Consumer
C000388,Northeast,2025-10-02,Organic Search,Consumer
C000389,Midwest,2025-06-14,Paid Search,Consumer
C000390,Midwest,2026-05-30,Organic Search,Small Business
C000391,Midwest,2025-08-28,Paid Social,Consumer
C000392,West,2026-02-11,Referral,Consumer
C000393,Midwest,2025-09-14,Paid Search,Premium
C000394,West,2025-09-04,Email,Small Business
C000395,Midwest,2025-09-18,Paid Search,Consumer
C000396,Midwest,2025-08-30,Organic Search,Premium
C000397,Midwest,2025-02-10,Paid Search,Consumer
C000398,West,2026-04-11,Paid Social,Consumer
C000399,Northeast,2025-07-01,Paid Search,Consumer
C000400,Midwest,2025-10-22,Paid Social,Consumer
C000401,West,2025-02-16,Organic Search,Consumer
C000402,Northeast,2026-01-06,Organic Search,Consumer
C000403,West,2026-01-29,Organic Search,Consumer
C000404,West,2025-01-26,Email,Consumer
C000405,West,2025-10-20,Email,Consumer
C000406,Midwest,2025-09-23,Referral,Consumer
C000407,Northeast,2025-06-29,Paid Social,Consumer
C000408,Northeast,2025-01-08,Paid Search,Consumer
C000409,West,2025-02-22,Paid Social,Consumer
C000410,West,2025-04-09,Referral,Small Business
C000411,West,2025-02-03,Organic Search,Consumer
C000412,Midwest,2026-02-22,Paid Social,Premium
C000413,West,2025-02-14,Paid Social,Consumer
C000414,West,2025-08-09,Paid Social,Consumer
C000415,West,2025-03-03,Organic Search,Small Business
C000416,Northeast,2026-05-24,Paid Social,Small Business
C000417,West,2025-11-19,Paid Social,Premium
C000418,Northeast,2025-10-31,Paid Social,Consumer
C000419,West,2025-05-06,Referral,Premium
C000420,Midwest,2025-05-14,Organic Search,Small Business
C000421,West,2026-06-11,Paid Search,Consumer
C000422,Midwest,2025-01-31,Paid Social,Consumer
C000423,Midwest,2026-01-11,,Consumer
C000424,Northeast,2025-01-07,Paid Social,Consumer
C000425,Midwest,2025-01-03,Organic Search,Consumer
C000426,Northeast,2025-01-07,Organic Search,Small Business
C000427,West,2026-04-01,Referral,Premium
C000428,West,2025-12-14,Email,Consumer
C000429,Northeast,2026-06-18,Paid Search,Consumer
C000430,Northeast,2025-04-27,Paid Social,Consumer
C000431,Midwest,2025-03-01,Paid Social,Consumer
C000432,Midwest,2025-09-24,Organic Search,Small Business
C000433,Northeast,2025-03-09,Organic Search,Consumer
C000434,Northeast,2025-11-16,Organic Search,Consumer
C000435,West,2025-02-21,Email,Consumer
C000436,Midwest,2025-09-16,Organic Search,Consumer
C000437,West,2025-11-03,Organic Search,Consumer
C000438,Northeast,2026-02-25,Referral,Consumer
C000439,Midwest,2026-04-03,Referral,Consumer
C000440,West,2025-01-21,Email,Consumer
C000441,,2025-08-14,Email,Small Business
C000442,West,2025-05-21,Referral,Premium
C000443,West,2026-04-20,Paid Social,Consumer
C000444,West,2026-02-10,Paid Search,Consumer
C000445,West,2025-11-30,Paid Search,Consumer
C000446,Northeast,2025-01-28,Email,Consumer
C000447,West,2025-02-11,Paid Search,Small Business
C000448,Northeast,2026-01-28,Referral,Consumer
C000449,Midwest,2025-10-28,Email,Premium
C000450,Midwest,2026-06-05,Organic Search,Consumer
C000451,Midwest,2025-10-23,Referral,Consumer
C000452,West,2025-02-15,Organic Search,Premium
C000453,Northeast,2025-01-02,Organic Search,Consumer
C000454,Northeast,2026-05-15,Email,Consumer
C000455,Northeast,2025-05-21,Email,Consumer
C000456,Midwest,2025-09-16,Paid Search,Consumer
C000457,Northeast,2026-06-24,Paid Search,Consumer
C000458,Midwest,2025-02-18,Referral,Consumer
C000459,Midwest,2025-08-22,Organic Search,Consumer
C000460,West,2025-05-16,Paid Social,Premium
C000461,Northeast,2025-02-21,Organic Search,Premium
C000462,Northeast,2026-05-03,Paid Search,Consumer
C000463,Midwest,2025-02-18,Organic Search,Consumer
C000464,Northeast,2025-09-26,Referral,Consumer
C000465,Northeast,2026-04-25,Organic Search,Consumer
C000466,Midwest,2026-03-11,Paid Social,Consumer
C000467,Northeast,2025-07-22,Organic Search,Consumer
C000468,Midwest,2025-10-24,Paid Search,Consumer
C000469,Northeast,2025-01-15,Paid Social,Consumer
C000470,Northeast,2025-10-20,Email,Consumer
C000471,Midwest,2025-03-29,Email,Consumer
C000472,West,2026-01-09,Organic Search,Premium
C000473,Midwest,2026-06-23,Paid Social,Small Business
C000474,Midwest,2025-09-11,Email,Small Business
C000475,Midwest,2025-09-25,Organic Search,Consumer
C000476,,2025-01-17,Paid Social,Small Business
C000477,Northeast,2025-01-15,Paid Search,Consumer
C000478,West,2025-12-31,Paid Social,Consumer
C000479,West,2025-08-29,Paid Search,Consumer
C000480,West,2025-08-17,Paid Social,Consumer
C000481,Northeast,2025-03-26,Referral,Consumer
C000482,Northeast,2025-03-06,Paid Social,Consumer
C000483,West,2025-05-23,Email,Consumer
C000484,West,2026-01-22,Paid Social,Small Business
C000485,Northeast,2026-05-03,Referral,Consumer
C000486,Northeast,2025-06-02,Paid Social,Premium
C000487,West,2025-04-06,Email,Small Business
C000488,Midwest,2025-12-02,Email,Small Business
C000489,Midwest,2025-12-19,Organic Search,Consumer
C000490,Northeast,2025-01-11,Email,Consumer
C000491,,2025-11-13,Paid Search,Consumer
C000492,Midwest,2026-03-10,Paid Social,Consumer
C000493,West,2025-01-29,Paid Social,Small Business
C000494,Northeast,2026-04-13,Paid Search,Consumer
C000495,Midwest,2025-07-02,Organic Search,Consumer
C000496,Northeast,2025-10-02,Organic Search,Consumer
C000497,West,2025-07-12,Organic Search,Consumer
C000498,Northeast,2026-03-08,Referral,Consumer
C000499,,2025-08-02,Email,Consumer
C000500,West,2026-04-07,Organic Search,Consumer
C000501,Northeast,2026-04-17,Paid Social,Consumer
C000502,West,2025-07-20,Email,Consumer
C000503,Midwest,2025-10-12,Paid Social,Consumer
C000504,West,2025-07-05,Organic Search,Consumer
C000505,Midwest,2025-06-14,Email,Small Business
C000506,Midwest,2026-02-15,Referral,Small Business
C000507,Midwest,2025-12-09,Organic Search,Consumer
C000508,Midwest,2025-03-10,Email,Consumer
C000509,West,2025-06-09,Organic Search,Consumer
C000510,Midwest,2025-06-16,Email,Consumer
C000511,Midwest,2025-04-22,Paid Social,Consumer
C000512,West,2025-05-14,Email,Consumer
C000513,Midwest,2026-04-06,Organic Search,Consumer
C000514,Midwest,2025-06-21,Organic Search,Consumer
C000515,West,2026-06-29,Email,Small Business
C000516,Midwest,2026-01-27,Organic Search,Small Business
C000517,Northeast,2026-06-24,Organic Search,Consumer
C000518,Midwest,2025-10-02,Organic Search,Consumer
C000519,Midwest,2025-04-03,Organic Search,Consumer
C000520,Midwest,2025-11-19,Referral,Consumer
C000521,Midwest,2025-07-05,Email,Consumer
C000522,West,2025-07-18,Email,Consumer
C000523,Midwest,2025-10-24,Email,Small Business
C000524,Midwest,2025-07-17,Referral,Premium
C000525,Midwest,2025-05-19,Paid Search,Consumer
C000526,Northeast,2026-06-17,Organic Search,Consumer
C000527,Northeast,2025-11-17,Paid Social,Premium
C000528,Midwest,2026-02-25,Referral,Small Business
C000529,West,2026-01-23,Organic Search,Premium
C000530,Northeast,2025-06-19,Referral,Consumer
C000531,Northeast,2025-07-06,Organic Search,Consumer
C000532,Northeast,2025-03-05,Organic Search,Consumer
C000533,Northeast,2026-04-05,Paid Social,Consumer
C000534,Northeast,2025-07-02,Organic Search,Premium
C000535,West,2025-05-23,Paid Social,Consumer
C000536,Northeast,2026-05-01,Organic Search,Consumer
C000537,West,2025-10-14,Paid Search,Consumer
C000538,Northeast,2025-11-10,Organic Search,Consumer
C000539,West,2026-01-01,Email,Consumer
C000540,Northeast,2025-06-07,Organic Search,Small Business
C000541,Midwest,2025-08-19,Paid Social,Consumer
C000542,Midwest,2026-02-06,Email,Small Business
C000543,Northeast,2026-05-13,Referral,Consumer
C000544,West,2025-03-24,Organic Search,Consumer
C000545,Midwest,2026-05-29,Email,Consumer
C000546,West,2025-06-26,Email,Consumer
C000547,Midwest,2025-02-13,Organic Search,Consumer
C000548,West,2025-02-13,Email,Consumer
C000549,Northeast,2026-05-08,Organic Search,Consumer
C000550,,2025-03-03,Paid Social,Small Business
C000551,Northeast,2026-01-27,Paid Social,Small Business
C000552,West,2025-11-17,Paid Social,Small Business
C000553,Northeast,2025-04-24,Email,Consumer
C000554,Midwest,2025-10-23,Organic Search,Consumer
C000555,Northeast,2025-08-08,Organic Search,Premium
C000556,Midwest,2025-12-06,Paid Search,Small Business
C000557,Midwest,2025-07-07,Paid Search,Consumer
C000558,West,2025-11-26,Email,Consumer
C000559,Northeast,2025-02-24,Referral,Consumer
C000560,Northeast,2025-03-04,Paid Search,Consumer
