return_id,order_item_id,return_date,return_quantity,return_amount,return_reason
R0000138,OI00001155,2026-01-21,1,77.19,Changed Mind
R0000139,OI00001159,2026-02-14,1,107.98,Arrived Late
R0000140,OI00001161,2026-02-25,1,63.82,Changed Mind
R0000141,OI00001166,2026-02-10,1,50.55,Size or Fit
R0000142,OI00001170,2026-01-26,1,111.47,Size or Fit
R0000143,OI00001180,2026-01-17,1,157.92,Wrong Item
R0000144,OI00001182,2026-01-30,2,1624.4,Not as Described
R0000145,OI00001195,2026-01-30,1,88.24,Changed Mind
R0000146,OI00001200,2026-01-29,1,403.88,Size or Fit
R0000147,OI00001206,2026-01-31,1,320.72,Not as Described
R0000148,OI00001214,2026-02-25,1,86.78,Changed Mind
R0000149,OI00001220,2026-02-15,1,100.04,Arrived Late
R0000150,OI00001228,2026-01-18,1,253.88,Size or Fit
R0000151,OI00001229,2026-01-26,1,82.98,Changed Mind
R0000152,OI00001237,2026-02-19,1,86.72,Damaged
R0000153,OI00001240,2026-02-16,1,74.81,Damaged
R0000154,OI00001242,2026-01-31,1,143.55,Size or Fit
R0000155,OI00001244,2026-02-01,1,74.57,Size or Fit
R0000156,OI00001246,2026-02-02,1,127.08,Size or Fit
R0000157,OI00001254,2026-01-30,1,109.6,Changed Mind
R0000158,OI00001265,2026-02-04,1,424.52,Damaged
R0000159,OI00001273,2026-02-24,1,282.22,Changed Mind
R0000160,OI00001286,2026-02-03,1,83.87,Changed Mind
R0000161,OI00001287,2026-02-08,1,74.78,Size or Fit
R0000162,OI00001301,2026-02-19,1,260.8,Damaged
R0000163,OI00001303,2026-01-19,1,490.1,Changed Mind
R0000164,OI00001308,2026-01-18,1,272.83,Arrived Late
R0000165,OI00001316,2026-02-20,1,83.08,Changed Mind
R0000166,OI00001325,2026-01-27,1,242.08,Changed Mind
R0000167,OI00001345,2026-02-12,1,145.68,
R0000168,OI00001347,2026-02-15,1,261.64,Not as Described
R0000169,OI00001351,2026-02-12,1,486.49,Arrived Late
R0000170,OI00001361,2026-02-06,1,143.65,Wrong Item
R0000171,OI00001364,2026-02-02,1,99.56,Size or Fit
R0000172,OI00001366,2026-01-19,1,81.22,Changed Mind
R0000173,OI00001367,2026-02-05,1,476.16,Not as Described
R0000174,OI00001369,2026-02-08,1,141.1,Not as Described
R0000175,OI00001370,2026-01-19,1,272.36,Not as Described
R0000176,OI00001385,2026-02-18,1,19.64,
R0000177,OI00001400,2026-02-18,1,109.24,Size or Fit
R0000178,OI00001429,2026-02-17,1,150.57,
R0000179,OI00001434,2026-01-23,1,118.48,Wrong Item
R0000180,OI00001435,2026-01-31,1,111.95,Changed Mind
R0000181,OI00001456,2026-02-03,1,102.34,Wrong Item
R0000182,OI00001459,2026-02-27,1,158.21,Size or Fit
R0000183,OI00001467,2026-02-04,1,144.96,Damaged
R0000184,OI00001476,2026-02-04,1,145.17,
R0000185,OI00001477,2026-01-26,1,79.44,Size or Fit
R0000186,OI00001481,2026-03-01,1,429.26,Damaged
R0000187,OI00001484,2026-01-30,1,627.61,
R0000188,OI00001490,2026-02-02,1,214.34,
R0000189,OI00001496,2026-02-09,1,87.72,Changed Mind
R0000190,OI00001511,2026-02-23,1,144.76,Damaged
R0000191,OI00001522,2026-02-15,1,125.33,Size or Fit
R0000192,OI00001523,2026-02-24,1,117.14,
R0000193,OI00001532,2026-02-12,1,144.85,
R0000194,OI00001540,2026-02-24,1,136.51,Changed Mind
R0000195,OI00001561,2026-02-26,1,156.96,
R0000196,OI00001571,2026-01-31,1,103.93,Size or Fit
R0000197,OI00001576,2026-03-01,1,141.11,
R0000198,OI00001582,2026-01-29,1,150.96,Size or Fit
R0000199,OI00001607,2026-02-11,1,71.37,Size or Fit
R0000200,OI00001608,2026-01-25,1,266.03,Damaged
R0000201,OI00001621,2026-01-22,1,126.45,Not as Described
R0000202,OI00001636,2026-01-26,1,123.39,
R0000203,OI00001642,2026-02-13,1,82.66,Not as Described
R0000204,OI00001649,2026-02-20,1,123.58,Changed Mind
R0000205,OI00001651,2026-02-13,1,67.78,Size or Fit
R0000206,OI00001654,2026-02-22,1,136.77,
R0000207,OI00001668,2026-01-24,1,52.81,Size or Fit
R0000208,OI00001695,2026-03-02,1,138.71,Changed Mind
R0000209,OI00001699,2026-02-11,1,189.85,Size or Fit
R0000210,OI00001700,2026-02-03,1,659.39,Changed Mind
R0000211,OI00001710,2026-01-22,1,76.78,Size or Fit
R0000212,OI00001711,2026-02-10,1,147.87,Not as Described
R0000213,OI00001720,2026-02-20,2,602.85,
R0000214,OI00001725,2026-02-25,1,76.17,Size or Fit
R0000215,OI00001734,2026-02-14,1,79.37,Changed Mind
R0000216,OI00001740,2026-02-16,1,143.26,Not as Described
R0000217,OI00001745,2026-02-11,1,139.16,Size or Fit
R0000218,OI00001746,2026-02-05,1,127.59,Size or Fit
R0000219,OI00001754,2026-01-24,1,266.96,
R0000220,OI00001773,2026-02-21,2,186.2,
R0000221,OI00001800,2026-01-30,1,249.2,Size or Fit
R0000222,OI00001812,2026-02-04,1,141.78,Changed Mind
R0000223,OI00001813,2026-02-27,1,62.85,Not as Described
R0000224,OI00001814,2026-03-04,1,113.04,
R0000225,OI00001815,2026-01-31,1,46.79,
R0000226,OI00001822,2026-02-17,1,125.29,
R0000227,OI00001832,2026-02-27,1,62.26,Wrong Item
R0000228,OI00001860,2026-02-20,1,62.08,Size or Fit
R0000229,OI00001865,2026-02-10,1,229.81,Changed Mind
R0000230,OI00001874,2026-02-15,1,139.11,Arrived Late
R0000231,OI00001884,2026-02-28,1,106.62,Size or Fit
R0000232,OI00001911,2026-02-14,1,107.99,Changed Mind
R0000233,OI00001912,2026-02-23,1,75.06,Changed Mind
R0000234,OI00001913,2026-02-06,1,110.78,
R0000235,OI00001914,2026-02-23,1,674.82,Not as Described
R0000236,OI00001929,2026-03-01,2,628.58,Size or Fit
R0000237,OI00001942,2026-02-15,1,115.03,Size or Fit
R0000238,OI00001953,2026-02-08,1,90.22,Damaged
R0000239,OI00001955,2026-02-23,1,14.1,Changed Mind
R0000240,OI00001966,2026-01-25,1,111.43,Size or Fit
R0000241,OI00001967,2026-02-24,1,52.32,Changed Mind
R0000242,OI00001980,2026-01-28,1,28.95,Arrived Late
R0000243,OI00001983,2026-02-05,1,82.0,
R0000244,OI00001985,2026-02-22,2,280.2,Size or Fit
R0000245,OI00001995,2026-01-30,1,82.15,Not as Described
R0000246,OI00002006,2026-02-22,1,132.78,Size or Fit
R0000247,OI00002010,2026-02-24,1,126.19,Damaged
R0000248,OI00002015,2026-01-25,1,414.76,Size or Fit
R0000249,OI00002021,2026-02-23,1,154.35,Size or Fit
R0000250,OI00002028,2026-02-08,1,66.04,Changed Mind
R0000251,OI00002029,2026-02-17,1,322.9,Size or Fit
R0000252,OI00002066,2026-02-05,1,460.58,Not as Described
R0000253,OI00002067,2026-01-29,2,303.24,Changed Mind
R0000254,OI00002069,2026-02-22,1,405.03,Arrived Late
R0000255,OI00002070,2026-02-16,1,80.08,Changed Mind
R0000256,OI00002086,2026-02-12,1,105.45,Damaged
R0000257,OI00002104,2026-03-03,1,677.97,Changed Mind
R0000258,OI00002116,2026-02-26,1,78.96,Arrived Late
R0000259,OI00002121,2026-02-15,1,114.35,Size or Fit
R0000260,OI00002142,2026-02-19,1,157.25,Wrong Item
R0000261,OI00002166,2026-02-05,2,242.42,Size or Fit
R0000262,OI00002168,2026-02-02,1,19.03,Not as Described
R0000263,OI00002172,2026-03-06,1,800.33,Changed Mind
R0000264,OI00002173,2026-01-31,1,132.54,
R0000265,OI00002184,2026-02-10,1,86.38,Size or Fit
R0000266,OI00002187,2026-02-13,1,120.82,Arrived Late
R0000267,OI00002200,2026-02-25,2,276.6,Not as Described
R0000268,OI00002206,2026-02-16,1,88.05,Size or Fit
R0000269,OI00002225,2026-01-29,2,1559.22,Not as Described
R0000270,OI00002231,2026-01-30,1,268.66,Changed Mind
R0000271,OI00002239,2026-01-29,1,45.09,Wrong Item
R0000272,OI00002244,2026-02-13,1,337.55,Changed Mind
R0000273,OI00002250,2026-02-20,1,561.09,
R0000274,OI00002251,2026-02-13,1,104.65,
R0000275,OI00002270,2026-02-12,1,160.31,Changed Mind
R0000276,OI00002278,2026-03-01,1,60.5,Arrived Late
R0000277,OI00002284,2026-02-24,1,48.38,Changed Mind
R0000278,OI00002293,2026-01-31,1,83.21,Not as Described
R0000279,OI00002296,2026-02-18,1,110.22,Size or Fit
R0000280,OI00002310,2026-01-30,1,140.03,Arrived Late
R0000281,OI00002312,2026-03-07,1,76.18,Changed Mind
R0000282,OI00002319,2026-02-18,1,125.03,Size or Fit
R0000283,OI00002335,2026-03-08,1,67.77,Changed Mind
R0000284,OI00002337,2026-03-04,1,111.1,Changed Mind
R0000285,OI00002356,2026-01-29,1,100.31,Changed Mind
R0000286,OI00002368,2026-02-17,2,183.27,Not as Described
R0000287,OI00002376,2026-02-21,1,86.57,
R0000288,OI00002378,2026-02-04,1,654.58,
R0000289,OI00002387,2026-02-26,1,82.35,Size or Fit
R0000290,OI00002407,2026-03-05,1,59.02,Changed Mind
R0000291,OI00002413,2026-02-14,2,149.65,Size or Fit
R0000292,OI00002414,2026-02-17,1,268.38,Changed Mind
R0000293,OI00002415,2026-03-11,1,240.16,Not as Described
R0000294,OI00002416,2026-02-23,1,129.14,Not as Described
R0000295,OI00002425,2026-03-02,1,130.47,Size or Fit
R0000296,OI00002428,2026-01-31,1,186.64,Arrived Late
R0000297,OI00002433,2026-02-25,1,140.94,Not as Described
R0000298,OI00002434,2026-02-27,1,153.44,Size or Fit
R0000299,OI00002463,2026-02-23,1,485.44,Arrived Late
R0000300,OI00002475,2026-02-03,3,369.81,
R0000301,OI00002489,2026-02-04,1,60.55,Damaged
R0000302,OI00002498,2026-02-21,1,68.36,Not as Described
R0000303,OI00002502,2026-02-07,1,63.97,Size or Fit
R0000304,OI00002505,2026-02-27,1,143.12,Size or Fit
R0000305,OI00002507,2026-02-08,1,493.38,Size or Fit
R0000306,OI00002513,2026-01-31,1,78.34,Arrived Late
R0000307,OI00002514,2026-02-17,1,65.87,Wrong Item
R0000308,OI00002521,2026-02-06,1,602.51,Changed Mind
R0000309,OI00002551,2026-02-09,1,119.09,Damaged
R0000310,OI00002555,2026-02-14,2,840.22,Changed Mind
R0000311,OI00002564,2026-02-02,1,75.49,Size or Fit
R0000312,OI00002571,2026-02-28,1,79.12,Size or Fit
R0000313,OI00002586,2026-02-16,1,79.68,Size or Fit
R0000314,OI00002622,2026-02-08,1,147.27,Damaged
R0000315,OI00002629,2026-02-11,1,79.83,Damaged
R0000316,OI00002646,2026-02-06,2,294.5,Damaged
R0000317,OI00002649,2026-02-14,1,588.37,Not as Described
R0000318,OI00002657,2026-02-25,1,52.77,Changed Mind
R0000319,OI00002674,2026-02-17,1,80.85,Changed Mind
R0000320,OI00002683,2026-03-09,1,152.64,Size or Fit
R0000321,OI00002700,2026-02-13,1,83.95,
R0000322,OI00002709,2026-02-08,1,102.19,Size or Fit
R0000323,OI00002721,2026-02-23,1,127.87,Wrong Item
R0000324,OI00002727,2026-02-21,2,1156.27,Changed Mind
R0000325,OI00002760,2026-02-13,1,103.02,Changed Mind
R0000326,OI00002761,2026-02-08,1,83.91,Arrived Late
R0000327,OI00002778,2026-02-24,1,383.49,Changed Mind
R0000328,OI00002798,2026-03-11,2,269.3,Not as Described
R0000329,OI00002808,2026-02-28,1,85.5,
R0000330,OI00002816,2026-02-19,1,28.45,Damaged
R0000331,OI00002841,2026-03-16,1,346.4,
R0000332,OI00002844,2026-02-07,1,503.25,
R0000333,OI00002848,2026-02-04,1,434.38,Changed Mind
R0000334,OI00002861,2026-03-05,1,369.94,Not as Described
R0000335,OI00002873,2026-03-09,1,123.24,Size or Fit
R0000336,OI00002901,2026-02-17,1,657.99,Changed Mind
R0000337,OI00002905,2026-02-08,1,146.36,Changed Mind
R0000338,OI00002913,2026-03-13,1,685.8,Changed Mind
R0000339,OI00002923,2026-02-17,1,75.52,Wrong Item
R0000340,OI00002926,2026-03-13,1,75.81,Changed Mind
R0000341,OI00002927,2026-03-07,1,108.87,
R0000342,OI00002928,2026-02-21,1,143.72,Size or Fit
R0000343,OI00002941,2026-03-12,1,123.91,Damaged
R0000344,OI00002945,2026-03-11,1,235.69,Size or Fit
R0000345,OI00002949,2026-02-09,1,14.16,
R0000346,OI00002962,2026-03-15,1,123.34,Size or Fit
R0000347,OI00002970,2026-03-15,1,270.01,Arrived Late
R0000348,OI00002991,2026-03-13,2,953.18,Arrived Late
R0000349,OI00003010,2026-02-05,1,260.17,Size or Fit
R0000350,OI00003012,2026-03-04,1,401.28,
R0000351,OI00003013,2026-03-07,1,83.75,Size or Fit
R0000352,OI00003026,2026-02-12,1,83.14,Damaged
R0000353,OI00003027,2026-02-11,1,152.87,Wrong Item
R0000354,OI00003039,2026-02-07,1,622.96,
R0000355,OI00003047,2026-02-19,1,81.21,Damaged
R0000356,OI00003052,2026-02-17,1,272.06,Not as Described
R0000357,OI00003066,2026-03-06,1,122.64,Not as Described
R0000358,OI00003072,2026-02-15,1,143.92,Size or Fit
R0000359,OI00003073,2026-03-18,1,382.0,Wrong Item
R0000360,OI00003074,2026-02-14,1,60.01,Size or Fit
R0000361,OI00003080,2026-03-14,1,76.17,
R0000362,OI00003084,2026-02-13,1,124.28,Damaged
R0000363,OI00003101,2026-02-25,1,125.93,Arrived Late
R0000364,OI00003103,2026-03-18,1,84.76,Changed Mind
R0000365,OI00003111,2026-02-16,1,289.62,Size or Fit
R0000366,OI00003120,2026-02-18,1,64.68,
R0000367,OI00003137,2026-02-22,1,73.58,Not as Described
R0000368,OI00003141,2026-02-07,1,177.0,Arrived Late
R0000369,OI00003157,2026-03-09,1,156.85,Damaged
R0000370,OI00003169,2026-02-09,1,120.21,Size or Fit
R0000371,OI00003170,2026-02-13,1,62.1,Size or Fit
R0000372,OI00003209,2026-03-15,2,221.06,Size or Fit
R0000373,OI00003214,2026-02-08,1,30.84,Size or Fit
R0000374,OI00003236,2026-02-16,1,101.56,Arrived Late
R0000375,OI00003242,2026-02-22,1,153.56,Size or Fit
R0000376,OI00003249,2026-02-23,1,137.17,Wrong Item
R0000377,OI00003256,2026-03-18,1,122.94,
R0000378,OI00003264,2026-03-09,1,75.4,Damaged
R0000379,OI00003274,2026-03-01,1,267.49,Arrived Late
R0000380,OI00003275,2026-03-05,1,83.6,Size or Fit
R0000381,OI00003277,2026-02-23,1,30.73,
R0000382,OI00003294,2026-03-10,1,125.23,Changed Mind
R0000383,OI00003295,2026-02-25,1,79.99,Size or Fit
R0000384,OI00003302,2026-03-04,1,128.11,Wrong Item
R0000385,OI00003308,2026-02-21,1,127.14,Damaged
R0000386,OI00003310,2026-03-06,1,83.06,
R0000387,OI00003311,2026-03-07,1,30.52,Damaged
R0000388,OI00003315,2026-02-27,1,45.9,Damaged
R0000389,OI00003320,2026-02-09,1,613.47,Wrong Item
R0000390,OI00003326,2026-03-15,1,662.24,Changed Mind
R0000391,OI00003327,2026-03-08,1,27.78,Not as Described
R0000392,OI00003336,2026-03-17,1,780.15,Not as Described
R0000393,OI00003345,2026-02-16,1,153.09,Changed Mind
R0000394,OI00003353,2026-03-10,2,808.46,Damaged
R0000395,OI00003363,2026-02-23,1,82.97,Size or Fit
R0000396,OI00003366,2026-02-16,2,163.94,Size or Fit
R0000397,OI00003368,2026-03-18,1,151.57,Size or Fit
R0000398,OI00003413,2026-02-25,1,97.3,Size or Fit
R0000399,OI00003416,2026-03-12,1,79.9,Size or Fit
R0000400,OI00003419,2026-02-14,1,73.09,Size or Fit
R0000401,OI00003430,2026-03-17,1,80.94,Changed Mind
R0000402,OI00003439,2026-02-18,1,75.96,Not as Described
R0000403,OI00003442,2026-02-10,1,134.46,
R0000404,OI00003448,2026-03-11,1,69.78,Arrived Late
R0000405,OI00003461,2026-03-10,1,317.1,Size or Fit
R0000406,OI00003463,2026-03-01,1,66.21,Arrived Late
R0000407,OI00003470,2026-02-28,1,137.39,Damaged
R0000408,OI00003474,2026-02-15,1,112.19,
R0000409,OI00003477,2026-02-19,1,125.73,Size or Fit
R0000410,OI00003482,2026-03-05,1,66.82,Not as Described
R0000411,OI00003484,2026-02-10,1,145.57,Wrong Item
R0000412,OI00003491,2026-02-18,1,122.27,
R0000413,OI00003495,2026-02-13,1,57.88,Arrived Late
R0000414,OI00003502,2026-03-06,1,81.98,
R0000415,OI00003509,2026-03-02,1,158.27,
R0000416,OI00003511,2026-02-18,1,293.02,Wrong Item
R0000417,OI00003543,2026-03-08,1,81.64,Size or Fit
R0000418,OI00003544,2026-02-17,1,114.45,Size or Fit
R0000419,OI00003550,2026-03-23,1,136.27,Changed Mind
R0000420,OI00003559,2026-02-13,1,141.96,Changed Mind
R0000421,OI00003584,2026-02-17,1,433.05,
R0000422,OI00003588,2026-03-17,1,139.9,Arrived Late
R0000423,OI00003611,2026-02-11,1,87.47,Size or Fit
R0000424,OI00003617,2026-03-20,1,155.52,Size or Fit
R0000425,OI00003629,2026-03-02,1,161.95,
R0000426,OI00003633,2026-03-18,1,120.34,Arrived Late
R0000427,OI00003640,2026-03-20,1,148.02,Wrong Item
R0000428,OI00003657,2026-03-19,1,81.66,Size or Fit
R0000429,OI00003658,2026-03-05,1,142.17,
R0000430,OI00003671,2026-02-26,1,338.76,Damaged
R0000431,OI00003677,2026-03-03,2,519.38,Changed Mind
R0000432,OI00003700,2026-02-19,1,45.03,Wrong Item
R0000433,OI00003713,2026-03-15,1,124.93,Wrong Item
R0000434,OI00003724,2026-02-21,1,273.09,Arrived Late
R0000435,OI00003744,2026-02-18,1,93.15,Wrong Item
R0000436,OI00003748,2026-03-15,1,371.23,
R0000437,OI00003757,2026-02-16,1,69.26,Changed Mind
R0000438,OI00003790,2026-02-22,1,353.6,Size or Fit
R0000439,OI00003797,2026-02-20,1,161.36,Changed Mind
R0000440,OI00003807,2026-03-04,2,164.2,Not as Described
R0000441,OI00003810,2026-03-02,1,126.17,Damaged
R0000442,OI00003813,2026-03-10,2,699.43,
R0000443,OI00003814,2026-03-02,1,124.07,Changed Mind
R0000444,OI00003833,2026-03-04,2,183.06,Changed Mind
R0000445,OI00003849,2026-03-23,1,109.71,Damaged
R0000446,OI00003866,2026-02-23,1,81.82,Size or Fit
R0000447,OI00003868,2026-03-25,1,81.12,Damaged
R0000448,OI00003870,2026-03-07,1,150.82,Not as Described
R0000449,OI00003879,2026-03-01,1,447.01,Size or Fit
R0000450,OI00003895,2026-03-10,1,443.77,Arrived Late
R0000451,OI00003929,2026-03-15,1,363.25,Changed Mind
R0000452,OI00003936,2026-02-25,1,30.17,Changed Mind
R0000453,OI00003938,2026-03-21,1,76.27,Wrong Item
R0000454,OI00003951,2026-02-27,2,171.32,Changed Mind
R0000455,OI00003953,2026-03-15,1,67.86,Size or Fit
R0000456,OI00003961,2026-03-19,1,124.27,
R0000457,OI00003963,2026-02-27,1,150.58,Changed Mind
R0000458,OI00003965,2026-03-25,1,67.36,Changed Mind
R0000459,OI00003973,2026-03-14,1,320.3,Arrived Late
R0000460,OI00003986,2026-03-11,1,74.7,Wrong Item
R0000461,OI00003987,2026-03-19,1,11.71,Changed Mind
R0000462,OI00003997,2026-03-13,2,282.2,Changed Mind
R0000463,OI00004024,2026-03-11,1,284.74,Size or Fit
R0000464,OI00004028,2026-03-27,1,290.22,Arrived Late
R0000465,OI00004036,2026-03-16,2,297.26,
R0000466,OI00004039,2026-03-25,1,642.76,Damaged
R0000467,OI00004061,2026-03-15,2,310.1,Changed Mind
R0000468,OI00004062,2026-03-02,1,113.16,
R0000469,OI00004082,2026-03-28,1,83.24,Size or Fit
